0	latitude	longitude	diurnal
229	36.0184	-121.4900	50384.0
230	36.0184	-121.4897	50384.0
231	36.0184	-121.4894	50384.0
232	36.0184	-121.4891	50384.0
233	36.0183	-121.4888	50384.0
234	36.0183	-121.4883	50384.0
235	36.0183	-121.4880	50384.0
236	36.0183	-121.4877	50384.0
237	36.0183	-121.4875	50384.0
238	36.0182	-121.4872	50383.9
239	36.0182	-121.4869	50383.9
240	36.0182	-121.4863	50383.9
241	36.0182	-121.4861	50383.9
242	36.0182	-121.4858	50383.9
243	36.0182	-121.4855	50383.9
244	36.0181	-121.4852	50383.9
245	36.0181	-121.4850	50383.9
246	36.0181	-121.4844	50383.9
247	36.0181	-121.4841	50383.9
248	36.0181	-121.4838	50383.9
249	36.0180	-121.4836	50383.9
250	36.0180	-121.4833	50383.9
251	36.0180	-121.4830	50383.9
252	36.0180	-121.4825	50383.9
253	36.0180	-121.4822	50383.9
254	36.0180	-121.4819	50383.9
255	36.0179	-121.4816	50383.9
256	36.0179	-121.4813	50383.9
257	36.0179	-121.4808	50383.9
258	36.0179	-121.4805	50383.9
259	36.0179	-121.4802	50383.9
260	36.0179	-121.4800	50383.9
261	36.0178	-121.4797	50383.8
262	36.0178	-121.4794	50383.8
263	36.0178	-121.4788	50383.8
264	36.0178	-121.4786	50383.8
265	36.0178	-121.4783	50383.8
266	36.0177	-121.4780	50383.8
267	36.0177	-121.4777	50383.8
268	36.0177	-121.4775	50383.8
269	36.0177	-121.4769	50383.8
270	36.0177	-121.4766	50383.8
271	36.0177	-121.4763	50383.8
272	36.0176	-121.4761	50383.8
273	36.0176	-121.4758	50383.8
274	36.0176	-121.4752	50383.8
275	36.0176	-121.4750	50383.8
276	36.0176	-121.4747	50383.8
277	36.0175	-121.4744	50383.8
278	36.0175	-121.4741	50383.8
279	36.0175	-121.4738	50383.8
280	36.0175	-121.4733	50383.8
281	36.0175	-121.4730	50383.8
282	36.0175	-121.4727	50383.8
283	36.0174	-121.4725	50383.8
284	36.0174	-121.4722	50383.7
285	36.0174	-121.4719	50383.7
286	36.0174	-121.4713	50383.7
287	36.0174	-121.4711	50383.7
288	36.0173	-121.4708	50383.7
289	36.0173	-121.4705	50383.7
290	36.0173	-121.4702	50383.7
291	36.0173	-121.4697	50383.7
292	36.0173	-121.4694	50383.7
293	36.0173	-121.4691	50383.7
294	36.0172	-121.4688	50383.7
295	36.0172	-121.4686	50383.7
296	36.0172	-121.4683	50383.7
297	36.0172	-121.4677	50383.7
298	36.0172	-121.4675	50383.7
299	36.0172	-121.4672	50383.7
300	36.0171	-121.4669	50383.7
301	36.0171	-121.4666	50383.7
302	36.0171	-121.4663	50383.7
303	36.0171	-121.4658	50383.7
304	36.0171	-121.4655	50383.7
305	36.0170	-121.4652	50383.7
306	36.0170	-121.4650	50383.6
307	36.0170	-121.4647	50383.6
308	36.0170	-121.4644	50383.6
309	36.0170	-121.4638	50383.6
310	36.0170	-121.4636	50383.6
311	36.0170	-121.4630	50383.6
312	36.0170	-121.4625	50383.6
313	36.0170	-121.4622	50383.6
314	36.0170	-121.4616	50383.6
315	36.0170	-121.4611	50383.6
316	36.0170	-121.4605	50383.6
317	36.0170	-121.4602	50383.6
318	36.0170	-121.4597	50383.6
319	36.0170	-121.4591	50383.6
320	36.0170	-121.4588	50383.6
321	36.0170	-121.4583	50383.6
322	36.0170	-121.4577	50383.6
323	36.0170	-121.4572	50383.6
324	36.0170	-121.4569	50383.6
325	36.0170	-121.4563	50383.6
326	36.0171	-121.4558	50383.6
327	36.0171	-121.4555	50383.6
328	36.0171	-121.4550	50383.6
329	36.0171	-121.4544	50383.6
330	36.0171	-121.4541	50383.5
331	36.0171	-121.4536	50383.5
332	36.0171	-121.4530	50383.5
