latitude,longitude,diurnal
36.0207,-121.5322,50384.6
36.0207,-121.5319,50384.5
36.0207,-121.5316,50384.5
36.0207,-121.5311,50384.5
36.0206,-121.5308,50384.5
36.0206,-121.5305,50384.5
36.0206,-121.5302,50384.5
36.0206,-121.5300,50384.5
36.0206,-121.5297,50384.5
36.0205,-121.5291,50384.5
36.0205,-121.5288,50384.5
36.0205,-121.5286,50384.5
36.0205,-121.5283,50384.5
36.0205,-121.5280,50384.5
36.0205,-121.5277,50384.5
36.0204,-121.5272,50384.5
36.0204,-121.5269,50384.5
36.0204,-121.5266,50384.5
36.0204,-121.5263,50384.5
36.0204,-121.5261,50384.5
36.0204,-121.5255,50384.5
36.0203,-121.5252,50384.5
36.0203,-121.5250,50384.5
36.0203,-121.5247,50384.5
36.0203,-121.5244,50384.4
36.0203,-121.5241,50384.4
36.0202,-121.5236,50384.4
36.0202,-121.5233,50384.4
36.0202,-121.5230,50384.4
36.0202,-121.5227,50384.4
36.0202,-121.5225,50384.4
36.0202,-121.5222,50384.4
36.0201,-121.5216,50384.4
36.0201,-121.5213,50384.4
36.0201,-121.5211,50384.4
36.0201,-121.5208,50384.4
36.0201,-121.5205,50384.4
36.0200,-121.5202,50384.4
36.0200,-121.5197,50384.4
36.0200,-121.5194,50384.4
36.0200,-121.5191,50384.4
36.0200,-121.5188,50384.4
36.0200,-121.5186,50384.4
36.0199,-121.5180,50384.4
36.0199,-121.5177,50384.4
36.0199,-121.5175,50384.4
36.0199,-121.5172,50384.4
36.0199,-121.5169,50384.3
36.0199,-121.5166,50384.3
36.0198,-121.5161,50384.3
36.0198,-121.5158,50384.3
36.0198,-121.5155,50384.3
36.0198,-121.5152,50384.3
36.0198,-121.5150,50384.3
36.0197,-121.5147,50384.3
36.0197,-121.5141,50384.3
36.0197,-121.5138,50384.3
36.0197,-121.5136,50384.3
36.0197,-121.5133,50384.3
36.0197,-121.5130,50384.3
36.0196,-121.5125,50384.3
36.0196,-121.5122,50384.3
36.0196,-121.5119,50384.3
36.0196,-121.5116,50384.3
36.0196,-121.5113,50384.3
36.0195,-121.5111,50384.3
36.0195,-121.5105,50384.3
36.0195,-121.5102,50384.3
36.0195,-121.5100,50384.3
36.0195,-121.5097,50384.2
36.0195,-121.5094,50384.2
36.0194,-121.5091,50384.2
36.0194,-121.5086,50384.2
36.0194,-121.5083,50384.2
36.0194,-121.5080,50384.2
